pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,sample,execution_model,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,4.0,test,actual_bidask_fills,846.1693074052956,2260.1502988490374,-1413.9809914437417,33,64.0,0.3939393939393939,94.06060606060606,-1472.3424359433145,-1.4266359188190108
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,4.5,validation,actual_bidask_fills,751.7841593617991,413.9049842848408,337.8791750769583,13,26.0,0.6923076923076923,133.0,-171.29381328929048,1.2015618756187283
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,4.5,test,actual_bidask_fills,986.8137263916487,2118.580840145059,-1131.7671137534103,32,62.0,0.375,97.03125,-1190.128558252983,-1.2014503584023615
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,5.0,validation,actual_bidask_fills,751.7841593617991,413.9049842848408,337.8791750769583,13,26.0,0.6923076923076923,133.0,-171.29381328929048,1.2015618756187283
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,5.0,test,actual_bidask_fills,1303.7339407372174,1787.4666861722055,-483.73274543498826,32,62.0,0.375,97.03125,-542.0941899345611,-1.3548714917572207
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,-1.0,validation,actual_bidask_fills,4870.056041206787,1204.707503185789,3665.348538020998,42,84.0,0.6428571428571429,93.21428571428571,-500.2877169598996,2.6091978524729296
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,-1.0,test,actual_bidask_fills,13583.04299955547,3334.3277078980905,10248.71529165738,112,224.0,0.6964285714285714,48.705357142857146,-967.4655705941423,4.492662044406934
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,3.5,validation,actual_bidask_fills,4843.220144500932,1201.8821150812541,3641.3380294196786,43,86.0,0.627906976744186,91.02325581395348,-524.2982255612194,2.6101327568092514
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,3.5,test,actual_bidask_fills,13946.49337715375,3689.1596032876705,10257.33377386608,120,240.0,0.675,45.391666666666666,-1384.3260917546995,4.000840933417313
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,4.0,validation,actual_bidask_fills,4870.056041206787,1204.707503185789,3665.348538020998,42,84.0,0.6428571428571429,93.21428571428571,-500.2877169598996,2.6091978524729296
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,4.0,test,actual_bidask_fills,13272.866194467853,3656.9670140879484,9615.899180379905,112,224.0,0.6964285714285714,48.705357142857146,-1600.2816818716165,3.8111346623467957
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,4.5,validation,actual_bidask_fills,4870.056041206787,1204.707503185789,3665.348538020998,42,84.0,0.6428571428571429,93.21428571428571,-500.2877169598996,2.6091978524729296
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,4.5,test,actual_bidask_fills,13583.04299955547,3334.3277078980905,10248.71529165738,112,224.0,0.6964285714285714,48.705357142857146,-967.4655705941423,4.492662044406934
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,5.0,validation,actual_bidask_fills,4870.056041206787,1204.707503185789,3665.348538020998,42,84.0,0.6428571428571429,93.21428571428571,-500.2877169598996,2.6091978524729296
XLK-ORCL,ORCL,0.029167841206824113,1.0,0.75,240,5.0,test,actual_bidask_fills,13583.04299955547,3334.3277078980905,10248.71529165738,112,224.0,0.6964285714285714,48.705357142857146,-967.4655705941423,4.492662044406934
