signal_view,center_days,entry_bps,rules,valid_rules,median_train_net_bps,p25_train_net_bps,median_validation_net_bps,median_test_net_bps,positive_test_rate,train_island_score
micro_shrink_0.75,5,50.0,9,0,-1498.3503563791764,-2043.6865902439063,254.17905847236054,-843.2749722156233,0.0,-2520.1936515011294
micro_shrink_0.25,5,40.0,9,0,-1438.0038089951825,-2229.1952147464804,188.2842692747957,-1110.930432969009,0.0,-2552.6014163684226
micro_shrink_0.25,5,50.0,9,0,-1575.2680482019155,-2040.0264156902836,129.3213898851704,-802.0542417049867,0.0,-2595.2812560470575
micro_shrink_0.50,3,30.0,9,0,-1587.8651692787057,-2022.0454388542507,143.63834299195668,-284.52421410885336,0.0,-2598.887888705831
micro,5,40.0,9,0,-1553.296999767297,-2129.5830022780824,196.01549360618975,-1093.4979286684616,0.0,-2618.088500906338
micro_shrink_0.75,5,40.0,9,0,-1500.6074319141453,-2287.3163583063483,185.5045175449621,-1205.1597841828093,0.0,-2644.2656110673197
micro,3,40.0,9,0,-1643.3020623393663,-2062.644048251579,97.34556068679696,-411.7555134009148,0.2222222222222222,-2674.624086465156
micro_shrink_0.75,5,30.0,9,0,-1445.5243167583133,-2459.8727485581153,269.34261507700523,-844.1988557676112,0.0,-2675.460691037371
mid,5,50.0,9,0,-1665.9856467830684,-2095.168934349525,120.11572524301985,-833.7316753346554,0.0,-2713.570113957831
micro,5,50.0,9,0,-1704.6692552373959,-2098.7135877969013,205.7386205053887,-849.873501862337,0.0,-2754.0260491358467
micro_shrink_0.25,5,30.0,9,0,-1611.5819965709077,-2334.0280041265037,244.97721745913893,-881.3581296460031,0.0,-2778.5959986341595
micro_shrink_0.50,5,30.0,9,0,-1555.2363783539574,-2559.9134746332784,251.8145218662513,-875.1700955250014,0.0,-2835.193115670597
mid,5,30.0,9,0,-1632.564592114724,-2420.488626946249,222.12223277022116,-957.7431512295113,0.0,-2842.8089055878486
micro_shrink_0.75,3,30.0,9,0,-1733.4275084276626,-2344.8651181357127,149.6026779552051,-347.5089273737235,0.0,-2905.8600674955187
micro,3,30.0,9,0,-1682.5075778000614,-2497.295971256858,56.44787496987144,-380.69402785330317,0.0,-2931.1555634284905
