trial_id,pair_or_basket,method,sample,exit_reason,trades,gross_bps,cost_bps,net_bps
104,XLK-ANET,baseline,test,stop_loss,2,-22.799875402369427,6.043029666330221,-28.842905068699647
105,XLK-ANET,baseline,train,eod,22,34.6399024164659,50.228044249388105,-15.588141832922197
105,XLK-ANET,baseline,train,max_hold,77,0.09138553687363082,218.64531764575105,-218.55393210887738
105,XLK-ANET,baseline,train,reversion,13,183.3875889062585,46.17370349240868,137.21388541384982
105,XLK-ANET,baseline,validation,eod,6,0.521695646927468,26.42039591830994,-25.898700271382467
105,XLK-ANET,baseline,validation,max_hold,25,-51.42440819957299,72.45442816758735,-123.87883636716035
105,XLK-ANET,baseline,validation,reversion,2,17.676354466712286,4.47206280490197,13.204291661810315
105,XLK-ANET,baseline,test,eod,21,-10.645992879976632,81.19999989452758,-91.84599277450424
105,XLK-ANET,baseline,test,max_hold,65,18.59375233518287,213.14292438214585,-194.54917204696298
105,XLK-ANET,baseline,test,reversion,6,73.1920237993683,15.650464312622917,57.541559486745385
106,XLK-ANET,baseline,train,eod,11,23.11251187612509,40.18258394267876,-17.070072066553674
106,XLK-ANET,baseline,train,max_hold,42,-45.05925082466158,105.61456336261192,-150.67381418727348
106,XLK-ANET,baseline,train,reversion,4,71.39417194018976,7.220926196944513,64.17324574324526
106,XLK-ANET,baseline,train,stop_loss,51,-150.46790945358075,279.33313681150076,-429.80104626508165
106,XLK-ANET,baseline,validation,eod,3,6.187573700433088,23.32617377317387,-17.138600072740783
106,XLK-ANET,baseline,validation,max_hold,15,-1.477831619991634,56.131349134645056,-57.609180754636704
106,XLK-ANET,baseline,validation,stop_loss,3,-17.555736178811106,23.540569902504284,-41.09630608131538
106,XLK-ANET,baseline,test,eod,14,-18.980256559664316,42.55262784559335,-61.53288440525767
106,XLK-ANET,baseline,test,max_hold,39,29.817394523987566,149.9754637850473,-120.15806926105974
106,XLK-ANET,baseline,test,reversion,3,34.045257477102496,6.930423350837723,27.114834126264775
106,XLK-ANET,baseline,test,stop_loss,2,-22.799875402369427,6.043029666330221,-28.842905068699647
107,XLK-ANET,baseline,train,eod,11,23.11251187612509,40.18258394267876,-17.070072066553674
107,XLK-ANET,baseline,train,max_hold,43,-21.552911559298863,106.25359779353565,-127.80650935283452
107,XLK-ANET,baseline,train,reversion,5,78.34231086302005,9.739178575919654,68.6031322871004
107,XLK-ANET,baseline,validation,eod,3,6.187573700433088,23.32617377317387,-17.138600072740783
107,XLK-ANET,baseline,validation,max_hold,16,-8.692265767453982,59.13849704355538,-67.83076281100935
107,XLK-ANET,baseline,test,eod,14,-18.980256559664316,42.55262784559335,-61.53288440525767
107,XLK-ANET,baseline,test,max_hold,40,19.880281807467625,159.47081337880155,-139.59053157133394
107,XLK-ANET,baseline,test,reversion,3,34.045257477102496,6.930423350837723,27.114834126264775
108,XLK-APH,baseline,train,eod,43,33.68653142741637,117.93594419118057,-84.24941276376418
108,XLK-APH,baseline,train,max_hold,105,-76.81124898029827,301.7745839951952,-378.58583297549353
108,XLK-APH,baseline,train,reversion,29,296.7946285953751,120.8448868680295,175.9497417273456
108,XLK-APH,baseline,train,stop_loss,122,-518.0373771059654,542.3196522111556,-1060.357029317121
108,XLK-APH,baseline,validation,eod,9,5.124670700429967,30.085121710448323,-24.96045101001836
108,XLK-APH,baseline,validation,max_hold,24,-5.189818697255446,97.99798218426362,-103.1878008815191
108,XLK-APH,baseline,validation,reversion,12,158.91694201096362,46.0253592732355,112.8915827377281
108,XLK-APH,baseline,validation,stop_loss,14,-66.54012011735476,87.55029360805686,-154.0904137254116
108,XLK-APH,baseline,test,eod,30,-8.10134939630267,106.15115635255154,-114.25250574885419
108,XLK-APH,baseline,test,max_hold,94,-13.882204180269271,297.36709240561385,-311.2492965858832
108,XLK-APH,baseline,test,reversion,14,177.53680845080905,50.236477561026156,127.3003308897829
109,XLK-APH,baseline,train,eod,43,33.68653142741637,117.93594419118057,-84.24941276376418
109,XLK-APH,baseline,train,max_hold,110,-92.98425757806054,311.50729357854414,-404.49155115660477
109,XLK-APH,baseline,train,reversion,29,296.7946285953751,120.8448868680295,175.9497417273456
109,XLK-APH,baseline,validation,eod,9,5.124670700429967,30.085121710448323,-24.96045101001836
109,XLK-APH,baseline,validation,max_hold,25,-0.9276518584417758,99.22857885816654,-100.15623071660832
109,XLK-APH,baseline,validation,reversion,12,158.91694201096362,46.0253592732355,112.8915827377281
109,XLK-APH,baseline,test,eod,30,-8.10134939630267,106.15115635255154,-114.25250574885419
109,XLK-APH,baseline,test,max_hold,94,-13.882204180269271,297.36709240561385,-311.2492965858832
109,XLK-APH,baseline,test,reversion,14,177.53680845080905,50.236477561026156,127.3003308897829
