pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,execution_model,sample,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,30,-1.0,actual_bidask_fills,train,576.1417819466708,1169.7694166295048,-593.627634682834,140,280.0,0.42142857142857143,29.09285714285714,-687.776361708865,-1.877479834282909
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,30,-1.0,actual_bidask_fills,validation,590.9151743370522,1351.5605174639854,-760.6453431269333,117,234.0,0.4188034188034188,28.213675213675213,-858.2668215707479,-1.6666166122098074
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,30,-1.0,actual_bidask_fills,test,1369.9790980682192,2219.7751747590733,-849.7960766908541,192,384.0,0.4375,27.901041666666668,-1027.8501357450675,-1.6740890297038025
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,60,-1.0,actual_bidask_fills,train,399.76864142821535,859.0302612512523,-459.26161982303705,80,160.0,0.4375,55.8625,-595.3191080700915,-1.2093948537348531
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,60,-1.0,actual_bidask_fills,validation,767.7677885685696,1070.891296519667,-303.12350795109745,69,136.0,0.391304347826087,51.7536231884058,-546.342191894853,-0.6542929457124362
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,60,-1.0,actual_bidask_fills,test,1679.8653118174477,2478.9700195420482,-799.1047077246005,114,228.0,0.4473684210526316,50.8421052631579,-1033.1426574414947,-1.3991836540107327
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,120,-1.0,actual_bidask_fills,train,428.9567633831126,662.9830190263419,-234.02625564322932,49,98.0,0.4489795918367347,99.65306122448979,-411.84352016891523,-0.738670266445843
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,120,-1.0,actual_bidask_fills,validation,786.5819835983068,922.102727848504,-135.5207442501971,42,84.0,0.47619047619047616,89.95238095238095,-512.9218254695988,-0.2881228311256929
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,120,-1.0,actual_bidask_fills,test,1286.4766358410761,1892.743290400727,-606.2666545596506,74,148.0,0.4594594594594595,84.6891891891892,-855.0740231245335,-1.2350280069748738
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,240,-1.0,actual_bidask_fills,train,306.9305825354451,618.8122347065316,-311.88165217108656,31,62.0,0.45161290322580644,168.06451612903226,-434.80842778361506,-0.9876191453374216
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,240,-1.0,actual_bidask_fills,validation,768.6026768858678,891.0603913461657,-122.45771446029785,27,54.0,0.4444444444444444,151.25925925925927,-521.5750625422988,-0.23037544385637837
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.0,240,-1.0,actual_bidask_fills,test,1184.0785270145648,1769.5995191976533,-585.5209921830884,47,94.0,0.425531914893617,139.17021276595744,-773.1434494285771,-1.0843307569667384
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,-1,-1.0,actual_bidask_fills,train,469.39178761287616,707.9633631942705,-238.57157558139443,19,38.0,0.3684210526315789,287.57894736842104,-345.3832370505428,-0.7630748944439424
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,-1,-1.0,actual_bidask_fills,validation,784.0541497621256,854.4196859859098,-70.36553622378428,19,38.0,0.42105263157894735,222.31578947368422,-521.7145131868683,-0.1490247295068123
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,-1,-1.0,actual_bidask_fills,test,1653.6068705967023,2175.6924627432463,-522.085592146544,39,78.0,0.38461538461538464,171.15384615384616,-794.6721460045047,-0.9296953267129575
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,30,-1.0,actual_bidask_fills,train,556.7793637041341,1170.091735890777,-613.312372186643,140,280.0,0.42142857142857143,28.992857142857144,-687.776361708865,-1.9549874020386158
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,30,-1.0,actual_bidask_fills,validation,616.3857813990692,1351.7583399039613,-735.372558504892,117,234.0,0.42735042735042733,28.11111111111111,-858.2668215707479,-1.6075437275478583
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,30,-1.0,actual_bidask_fills,test,1883.003911823735,2809.327928556202,-926.3240167324672,195,390.0,0.4256410256410256,27.466666666666665,-1104.3780757866805,-1.8368624071701256
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,60,-1.0,actual_bidask_fills,train,497.71000691624323,984.1625496126217,-486.4525426963784,80,160.0,0.4375,54.9875,-594.3740612993142,-1.3005549440893907
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,60,-1.0,actual_bidask_fills,validation,752.7231370924969,1068.9658857669303,-316.24274867443347,69,136.0,0.4057971014492754,51.17391304347826,-546.3421918948529,-0.6889527984071807
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,60,-1.0,actual_bidask_fills,test,2305.424165970642,2838.824629250336,-533.400463279694,118,236.0,0.4322033898305085,48.95762711864407,-767.4384129965883,-1.1048521065206425
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,120,-1.0,actual_bidask_fills,train,590.5127300047308,805.149855841476,-214.6371258367452,49,98.0,0.4489795918367347,97.10204081632654,-411.84352016891523,-0.6414176958720663
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,120,-1.0,actual_bidask_fills,validation,745.1173010854006,921.8296349194688,-176.71233383406815,42,84.0,0.5,87.42857142857143,-512.9218254695988,-0.38457591431784377
