pair,stock,spread_type,entry_z,exit_z,execution_scenario,month,gross_bps,cost_bps,net_bps,trades
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-07,41.413823525192925,73.52627696887488,-32.112453443681986,25
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-08,148.64238259766375,83.4951496540177,65.1472329436461,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-09,364.62723561355534,46.26979178275503,318.35744383080026,23
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-10,-270.55557313238626,31.565743668801495,-302.12131680118785,15
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-11,-29.44017540483037,108.76597754923152,-138.2061529540619,19
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-12,-44.75017504951054,87.36099132691021,-132.11116637642075,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2026-01,-262.9417919593122,40.15842948061114,-303.10022143992336,17
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2026-02,9.840657380140208,65.91941874351252,-56.078761363372294,23
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2026-03,486.7939351905126,99.91081840640065,386.8831167841119,36
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2026-04,-321.8366490111682,47.09661305913805,-368.93326207030634,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-05,54.40725650649049,67.81082249105567,-13.403565984565178,19
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-06,335.3490278256942,86.39086234919928,248.95816547649488,21
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-07,68.07900944357195,62.21767998211384,5.861329461458141,25
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-08,167.2660366214471,51.72671910868844,115.53931751275861,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-09,273.24964984031664,78.7532683754394,194.49638146487723,23
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-10,-219.3687562405924,46.192584796436165,-265.5613410370285,15
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-11,-45.78766403245954,83.8675550683833,-129.65521910084286,19
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2025-12,-64.60795579330309,95.64667447949489,-160.254630272798,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2026-01,-239.7692411455684,32.804255116055536,-272.5734962616239,17
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2026-02,35.41513374631052,72.62987396530035,-37.21474021898984,23
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2026-03,385.4905047782194,120.93153733206427,264.558967446155,36
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,2026-04,-267.69987312023034,30.231978643021645,-297.931851763252,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-05,105.17686675718795,0.0,105.17686675718795,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-06,338.3262486595705,0.0,338.3262486595705,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-07,4.596927133346217,0.0,4.596927133346217,26
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-08,135.46131506568585,0.0,135.46131506568585,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-09,305.14406026046464,0.0,305.14406026046464,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-10,-312.8808218723946,0.0,-312.8808218723946,16
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-11,10.076931251786995,0.0,10.076931251786995,18
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2025-12,-41.872404921026565,0.0,-41.872404921026565,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2026-01,-244.07524657592361,0.0,-244.07524657592361,18
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2026-02,18.224843970926965,0.0,18.224843970926965,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2026-03,466.8276758908659,0.0,466.8276758908659,36
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,2026-04,-284.3992481691864,0.0,-284.3992481691864,20
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-05,28.806596062436185,77.06042585260872,-48.25382979017252,18
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-06,-4.827781645024842,68.94393267360469,-73.77171431862955,12
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-07,-1.5149273160108834,55.67056172688245,-57.18548904289332,12
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-08,31.72763857864247,11.859738883011092,19.867899695631355,8
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-09,199.00552692912578,31.95506168585294,167.05046524327284,10
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-10,-155.58214073905674,19.279036746864715,-174.86117748592142,12
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-11,19.552585063324912,61.21321807214499,-41.66063300882008,16
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2025-12,-18.332712931190542,6.946858563557479,-25.279571494748016,6
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2026-01,-66.33818263158453,23.35002780834205,-89.68821043992659,10
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2026-02,409.47566248302536,44.32750771461796,365.1481547684074,12
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2026-03,2.7188879483563966,45.467025724574235,-42.74813777621782,10
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,2026-04,49.510341610146114,7.389644783810345,42.1206968263358,6
