trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason
469,pair_trading,XLK_top20_cleaned,XLK-TXN,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,4.0,0.12914434767331914,0.2693081721383044,235.64395905028076,-265.34812081105446,74.12481467643323,-339.47293548748775,56.0,0.2793493108218205,-115.77938615336653,322.1461947249145,-437.9255808782809,190.0,2.782414084474289,-760.0717756031952,-818.3430379647268,-1.8382739497364193,1.0,False,False,
470,pair_trading,XLK_top20_cleaned,XLK-TXN,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.12914434767331914,0.2693081721383044,235.64395905028076,-248.7817643979224,128.29622586485266,-377.07799026277513,58.0,0.5156978694774627,-95.43816896865307,346.83414635928574,-442.27231532793877,191.0,3.634124062807663,-789.1064616872244,-851.5074858105414,-1.8428255390700459,1.0,False,False,
471,pair_trading,XLK_top20_cleaned,XLK-TXN,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,4.0,0.12914434767331914,0.2693081721383044,235.64395905028076,40.926486680246974,85.84819857681964,-44.92171189657269,36.0,2.0976195500859833,75.93994889003379,134.77464826961503,-58.83469937958126,98.0,1.7747529493966065,-193.60934764919637,-364.42212058822616,-0.32404326376902215,1.0,True,False,
472,pair_trading,XLK_top20_cleaned,XLK-TXN,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.12914434767331914,0.2693081721383044,235.64395905028076,0.7763145463275364,64.41236597162006,-63.63605142529262,36.0,82.97199411801788,-170.76374863588325,186.55954473549272,-357.32329337137594,100.0,1.0925008746047769,-543.8828381068687,-438.80122377682534,-1.9212758929730447,1.0,False,False,
473,pair_trading,XLK_top20_cleaned,XLK-KLAC,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.09684657338915938,0.20415231288606434,211.91126928030013,-45.851248677446776,165.8124357547982,-211.66368443224493,86.0,3.616312326001226,-1130.0802859544453,597.441739849596,-1727.5220258040413,275.0,0.5286719424054085,-2324.9637656536374,-2477.407295527655,-6.286499816497145,1.0,False,False,
474,pair_trading,XLK_top20_cleaned,XLK-KLAC,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,,0.09684657338915938,0.20415231288606434,211.91126928030013,-38.4489118247798,182.66181348986999,-221.11072531464993,92.0,4.750766792108456,-1209.028531402091,651.6926525618063,-1860.7211839638971,281.0,0.5390217316096327,-2512.4138365257036,-2321.728483209984,-6.754626210323388,1.0,False,False,
475,pair_trading,XLK_top20_cleaned,XLK-KLAC,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,4.0,0.09684657338915938,0.20415231288606434,211.91126928030013,-157.1500280430125,95.46938503393017,-252.6194130769426,52.0,0.607504727952068,-404.18943510168606,438.2453763828677,-842.4348114845535,195.0,1.084257376179597,-1280.6801878674212,-1258.0971294762744,-3.5490667417826027,1.0,False,False,
476,pair_trading,XLK_top20_cleaned,XLK-KLAC,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.09684657338915938,0.20415231288606434,211.91126928030013,-30.453218082845193,117.753007337742,-148.20622542058715,52.0,3.866685189637618,-318.0752337155333,445.76361904975505,-763.8388527652883,199.0,1.4014408284563844,-1209.6024718150434,-1246.0324413671667,-3.193024585374667,1.0,False,False,
477,pair_trading,XLK_top20_cleaned,XLK-KLAC,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,4.0,0.09684657338915938,0.20415231288606434,211.91126928030013,156.22459944841984,81.10434342691663,75.12025602150322,36.0,0.51915219314545,-86.44479602827042,247.6890780643829,-334.1338740926534,103.0,2.8652861646336705,-581.8229521570363,-537.428000160534,-1.7787622359453321,1.0,True,False,
478,pair_trading,XLK_top20_cleaned,XLK-KLAC,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.09684657338915938,0.20415231288606434,211.91126928030013,77.62576575998494,69.341942508451,8.283823251533894,36.0,0.8932851332230702,-4.951930971274048,240.14232893202447,-245.09425990329856,103.0,48.49468426056026,-485.23658883532295,-583.0040045248036,-1.3083574534223434,1.0,False,False,
