stock,pair,spread_type,execution_scenario,beta,entry_z,exit_z,sample,gross_bps,cost_bps,net_bps,trades,avg_abs_position
TXN,XLK-TXN,direct_log_price,clipped_last_trade_proxy,0.12914434767331914,1.0,0.5,test,-30.991424897681696,0.0,-30.991424897681696,104,0.6581270448793135
TXN,XLK-TXN,price_regression_residual,no_cost_midpoint,-0.4189711789333449,1.0,0.5,train,1655.1629471348938,0.0,1655.1629471348938,416,0.6704668220844943
TXN,XLK-TXN,price_regression_residual,no_cost_midpoint,-0.4189711789333449,1.0,0.5,validation,1238.7714940662775,0.0,1238.7714940662775,56,0.6507197290431838
TXN,XLK-TXN,price_regression_residual,no_cost_midpoint,-0.4189711789333449,1.0,0.5,test,-909.4125988972123,0.0,-909.4125988972123,85,0.7250447558491265
TXN,XLK-TXN,price_regression_residual,quarter_spread_cost,-0.4189711789333449,1.0,0.5,train,1655.1629471348938,1658.1688991787219,-3.0059520438281,416,0.6704668220844943
TXN,XLK-TXN,price_regression_residual,quarter_spread_cost,-0.4189711789333449,1.0,0.5,validation,1238.7714940662775,240.6908992513639,998.0805948149138,56,0.6507197290431838
TXN,XLK-TXN,price_regression_residual,quarter_spread_cost,-0.4189711789333449,1.0,0.5,test,-909.4125988972123,307.8068981332961,-1217.2194970305084,85,0.7250447558491265
TXN,XLK-TXN,price_regression_residual,half_spread_taker_cost,-0.4189711789333449,1.0,0.5,train,1655.1629471348938,3316.3377983574437,-1661.1748512225497,416,0.6704668220844943
TXN,XLK-TXN,price_regression_residual,half_spread_taker_cost,-0.4189711789333449,1.0,0.5,validation,1238.7714940662775,481.3817985027278,757.3896955635497,56,0.6507197290431838
TXN,XLK-TXN,price_regression_residual,half_spread_taker_cost,-0.4189711789333449,1.0,0.5,test,-909.4125988972123,615.6137962665922,-1525.0263951638046,85,0.7250447558491265
TXN,XLK-TXN,price_regression_residual,clipped_last_trade_proxy,-0.4189711789333449,1.0,0.5,train,1299.7040638324274,0.0,1299.7040638324274,416,0.6704668220844943
TXN,XLK-TXN,price_regression_residual,clipped_last_trade_proxy,-0.4189711789333449,1.0,0.5,validation,1184.1676847842652,0.0,1184.1676847842652,56,0.6507197290431838
TXN,XLK-TXN,price_regression_residual,clipped_last_trade_proxy,-0.4189711789333449,1.0,0.5,test,-852.2460957802025,0.0,-852.2460957802025,85,0.7250447558491265
KLAC,XLK-KLAC,cum_residual_return,no_cost_midpoint,0.09684657338915938,1.25,0.5,train,485.651064523034,0.0,485.651064523034,412,0.5677489054415193
KLAC,XLK-KLAC,cum_residual_return,no_cost_midpoint,0.09684657338915938,1.25,0.5,validation,102.17727526783383,0.0,102.17727526783383,36,0.5553203499858876
KLAC,XLK-KLAC,cum_residual_return,no_cost_midpoint,0.09684657338915938,1.25,0.5,test,-1074.8119913130624,0.0,-1074.8119913130624,95,0.759985184270634
KLAC,XLK-KLAC,cum_residual_return,quarter_spread_cost,0.09684657338915938,1.25,0.5,train,485.651064523034,1078.3338903490853,-592.682825826051,412,0.5677489054415193
KLAC,XLK-KLAC,cum_residual_return,quarter_spread_cost,0.09684657338915938,1.25,0.5,validation,102.17727526783383,94.52651341830337,7.650761849530493,36,0.5553203499858876
KLAC,XLK-KLAC,cum_residual_return,quarter_spread_cost,0.09684657338915938,1.25,0.5,test,-1074.8119913130624,220.80229414336836,-1295.614285456431,95,0.759985184270634
KLAC,XLK-KLAC,cum_residual_return,half_spread_taker_cost,0.09684657338915938,1.25,0.5,train,485.651064523034,2156.6677806981706,-1671.016716175136,412,0.5677489054415193
KLAC,XLK-KLAC,cum_residual_return,half_spread_taker_cost,0.09684657338915938,1.25,0.5,validation,102.17727526783383,189.05302683660673,-86.87575156877286,36,0.5553203499858876
KLAC,XLK-KLAC,cum_residual_return,half_spread_taker_cost,0.09684657338915938,1.25,0.5,test,-1074.8119913130624,441.6045882867367,-1516.4165795997992,95,0.759985184270634
KLAC,XLK-KLAC,cum_residual_return,clipped_last_trade_proxy,0.09684657338915938,1.25,0.5,train,38.64093421848635,0.0,38.64093421848635,412,0.5677489054415193
KLAC,XLK-KLAC,cum_residual_return,clipped_last_trade_proxy,0.09684657338915938,1.25,0.5,validation,47.9098391514933,0.0,47.9098391514933,36,0.5553203499858876
KLAC,XLK-KLAC,cum_residual_return,clipped_last_trade_proxy,0.09684657338915938,1.25,0.5,test,-1110.8242094194882,0.0,-1110.8242094194882,95,0.759985184270634
KLAC,XLK-KLAC,direct_log_price,no_cost_midpoint,0.09684657338915938,1.0,0.0,train,1595.2051113996556,0.0,1595.2051113996556,378,0.7433900039802127
KLAC,XLK-KLAC,direct_log_price,no_cost_midpoint,0.09684657338915938,1.0,0.0,validation,628.4388234464444,0.0,628.4388234464444,38,0.6703358735534858
