stock,spread_type,beta,policy,wait_min,latency_min,entry_z,exit_z,min_edge_bps,val_trades,val_gross_bps,val_cost_bps,val_net_bps,test_trades,test_gross_bps,test_cost_bps,test_net_bps,test_avg_net_per_trade_bps
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.0,0.5,25.0,23,1285.0717729597309,729.0287775915864,556.0429953681445,50,-56.50770954510665,1593.7425501384205,-1650.250259683527,-33.00500519367054
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.5,0.0,0.0,12,408.9273722700296,393.14733422186686,15.780038048162737,28,-486.57415843307496,1014.9396179875175,-1501.5137764205924,-53.62549201502116
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.5,0.0,25.0,12,408.9273722700296,393.14733422186686,15.780038048162737,28,-486.57415843307496,1014.9396179875175,-1501.5137764205924,-53.62549201502116
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.5,0.5,0.0,13,408.2947508346817,366.44286608741925,41.85188474726243,29,-120.497710344823,1054.257146734513,-1174.754857079336,-40.50878817514952
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.5,0.5,25.0,13,408.2947508346817,366.44286608741925,41.85188474726243,29,-120.497710344823,1054.257146734513,-1174.754857079336,-40.50878817514952
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,2.0,0.0,0.0,6,-589.4806129200281,192.1911757820459,-781.671788702074,18,-359.58690156996505,715.3653286815395,-1074.9522302515045,-59.7195683473058
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,2.0,0.0,25.0,6,-589.4806129200281,192.1911757820459,-781.671788702074,18,-359.58690156996505,715.3653286815395,-1074.9522302515045,-59.7195683473058
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,2.0,0.5,0.0,6,-589.4806129200281,192.1911757820459,-781.671788702074,18,-332.8398072345246,715.6129146995827,-1048.4527219341073,-58.24737344078374
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,2.0,0.5,25.0,6,-589.4806129200281,192.1911757820459,-781.671788702074,18,-332.8398072345246,715.6129146995827,-1048.4527219341073,-58.24737344078374
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.0,0.0,0.0,18,166.65599628928624,172.73227242825095,-6.076276138964701,52,326.3971250400906,516.9915006577708,-190.59437561768013,-3.665276454186156
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.0,0.0,25.0,18,166.65599628928624,172.73227242825095,-6.076276138964701,52,326.3971250400906,516.9915006577708,-190.59437561768013,-3.665276454186156
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.0,0.5,0.0,21,103.13141127991179,198.70082399261594,-95.56941271270414,68,361.4918771521781,604.6421928594054,-243.1503157072273,-3.5757399368709897
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.0,0.5,25.0,21,103.13141127991179,198.70082399261594,-95.56941271270414,68,361.4918771521781,604.6421928594054,-243.1503157072273,-3.5757399368709897
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.5,0.0,0.0,12,-70.68443966978347,91.35046312602731,-162.03490279581078,42,749.9535061752711,286.0158277447017,463.93767843056935,11.046135200727841
