strategy,candidate_set,spread_fraction,participation_rate,execution_horizon_min,markowitz_gamma,active_signals,gross_leverage,largest_weight,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_max_drawdown_bps,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_max_drawdown_bps,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_max_drawdown_bps,validation_score
core_liquid_pairs_sf0.25_pr0.001_h1_g0.005,core_liquid_pairs,0.25,0.001,1,0.005,0,6.448465049199152e-15,2.9901480650394172e-15,3.642485802705639e-12,9.222371523847962e-12,-5.579885721142325e-12,800.0,-8.15737224773862e-12,4.293529021017255e-12,1.072815860000335e-12,3.22071316101692e-12,116.0,-2.5390348564515644e-12,1.7023390375741563e-12,2.1930450082253715e-12,-4.907059706512156e-13,228.0,-6.208535249201366e-12,1.2642939664410089e-12
ou_filtered_sf0.25_pr0.001_h15_g0.01,ou_filtered,0.25,0.001,15,0.01,0,2.610983438178363e-15,2.610983438178363e-15,3.103662375876345e-11,3.3125050171340284e-11,-2.08842641257683e-12,414.0,-8.293709009988547e-12,3.234032293598757e-12,1.6875047965316403e-12,1.546527497067116e-12,22.0,-2.876264235357017e-12,1.133895003915941e-12,4.839416631215819e-12,-3.705521627299878e-12,75.0,-5.399416723450916e-12,3.647928070249233e-13
ou_filtered_sf0.35_pr0.010_h5_g0.25,ou_filtered,0.35,0.01,5,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liquid_validation_sf0.50_pr0.001_h1_g0.25,liquid_validation,0.5,0.001,1,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ou_filtered_sf0.35_pr0.010_h5_g0.1,ou_filtered,0.35,0.01,5,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_liquid_pairs_sf0.50_pr0.001_h1_g0.25,core_liquid_pairs,0.5,0.001,1,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liquid_validation_sf0.50_pr0.001_h5_g0,liquid_validation,0.5,0.001,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liquid_validation_sf0.50_pr0.001_h1_g0.01,liquid_validation,0.5,0.001,1,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_liquid_pairs_sf0.35_pr0.010_h5_g0.1,core_liquid_pairs,0.35,0.01,5,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liquid_validation_sf0.50_pr0.001_h5_g0.01,liquid_validation,0.5,0.001,5,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
